driver_id,trip_id,total_miles,avg_speed,max_speed,hard_brakes,rapid_accels,night_drive,night_miles,claim
1,1_0,9.800079468797522,47.50451195806457,62.20733554002064,0,1,1,2.7133301625135156,1
1,1_1,19.396989874314144,47.77791935428948,58.10807284209556,1,0,0,0.0,0
1,1_2,14.750370445068736,38.151376364547396,44.746728642527685,2,0,0,0.0,0
1,1_3,17.154105015039413,61.41647600870461,69.38440092678154,0,0,0,0.0,1
1,1_4,10.79921761518736,31.755187843087604,45.00815178221111,0,0,1,4.183832724643382,1
1,1_5,16.1608066153336,41.166858091407285,52.260301075052354,0,0,0,0.0,1
1,1_6,18.1564411291927,25.428441801443334,33.83008571965683,0,0,0,0.0,1
1,1_7,19.841391772957405,23.171302283841953,31.49687713391308,0,0,0,0.0,0
1,1_8,12.688241036677164,48.57975881257154,57.623237188163465,1,0,0,0.0,0
1,1_9,12.86373676831733,41.585396910767145,54.71334888060383,0,0,0,0.0,0
1,1_10,9.020801772054803,44.86972480785582,52.5227131068422,0,0,0,0.0,0
1,1_11,12.88350843977923,39.20281789093601,40.76614572114586,0,0,1,9.600125886126987,1
1,1_12,13.109187229803052,52.992282977860654,61.21096312255352,0,0,0,0.0,0
1,1_13,19.20154068728698,22.726795768076514,34.8989139858058,0,0,1,12.579154305996942,1
1,1_14,16.16338105677352,40.21852145523443,58.22741591183901,0,0,0,0.0,1
1,1_15,19.17555622957289,43.56871059149509,60.8852250475929,0,0,1,10.520413580201359,1
1,1_16,18.175754734072022,37.777773029012266,40.423741556498975,0,1,0,0.0,1
1,1_17,10.052309399840679,18.679537192686908,30.018094504406086,0,0,0,0.0,1
1,1_18,15.785242837226724,38.41365162961311,43.235382865484056,0,0,0,0.0,1
1,1_19,15.65137260736443,49.827395110230576,57.33091711753482,0,0,0,0.0,1
1,1_20,19.192446018681725,30.970728219129736,45.628593283500955,0,0,0,0.0,0
1,1_21,12.7250825982961,27.743942362327516,31.35425449072942,1,1,0,0.0,1
